id,document.
1," martin de gaynça maestro mayor de las obras de canteria de la santa iglesia de Sevilla y juan sanchez de caliz maestro mayor de las obras (roto) desta dicha ciudad de sevilla  otorgamos  que damos todo nuestro poder  a rodrigo de cordova vecino de la ciudad de gibraltar  para  que por nos  pueda fazer qualquier yguala e convenencia  con luis de toro en nombre de su majestad para fazer un muro de abajo que se a de fazer en la ciudad de gibraltar desde san francisco fasta encima del cuchillo de una sierra que a de ser el dicho muro de grueso de nueve pies desde el dicho monasterio de san francisco fasta la cueva de san cristoval e desde la dicha cueva  fasta el cuchillo de la sierra a de ser de cuatro pies de grueso  e otrosi nos pueda obligar que faremos otras qualesquier obras de canteria e manposteria que fueren menester de se faser en la dicha ciudad de Gibraltar"
2," martin de gaynça  soy convenido  con los reverendos padres prior frailes e convento del monasterio de san pablo desta dicha ciudad de Sevilla  en tal manera que yo me obligo de fazer el cruzero de la iglesia junto a la capilla mayor  e de lo fazer de buena obra de canteria del puerto de santa maria del altura de la capilla mayor lo cual tengo de derrocar a mi costa con tanto que todo e material que saliere del dicho cruzero asi de piedra como de ladrillo sea mio e me obligo de ensanchar las ventanas del dicho  cruzero del altura que fuere menester e desgarrar lo que fuere menester para ello e de encalar e torar los testeros donde estan las dichas ventanas (muy roto) e mas me obligo de fazer el pilarote sobre que a de venir el canpanario fasta en raz de la capilla e mas me obligo de alinpiar los dos arcos para la parte de la capilla que estan en el dicho cruzero  e de lo dar acabado en fin del mes de marzo de 1543  dandome 400 ducados"
3," martin de gaynça  soy convenido  con el monesterio e convento de señor san pablo desta ciudad de Sevilla  en tal manera que yo me obligo a fazer en el dicho monasterio encima de la capilla mayor que agora se haze un canpanario de piedra de canteria de las canteras de santiago  el qual dare acabado para pascua florida  deste año en que se ponga una canpana grande  e para pascua de espiritu santo  desde dicho año me obligo de lo dar todo acabado  dandome 40000 maravedis"
4," Francisco Buelta, cantero, vecino de Sevilla, otorgo poder a Martin de Gainza, maestro mayor de las obras de canteria de la Santa Iglesia de dicha ciudad de Sevilla, y a Juan Picardo, cantero, generalmente para todos sus asuntos y especialmente para que se hiciesen cargo de cuanto para el otorgante llegase consignado de la provincia del Rio de la Plata. ]"
5," Martin de Gainza y Juan de Escalona, vecinos de Llanos, se obligaron a pagar a Juan de Cordoba, mercader, 10.150 maravedis, importe de setenta arrobas de aceite que le habian comprado. ]"
6," Martin de Gainza, se obligo a pagar a Juan Perez, vecino de Moron, 75.000 maravedis, importe de todas las cuentas que entre ellos hubo.]"
7," Rodrigo Alonso, calero, se obligo a pagar a Martin de Gainza, obrero mayor de la Santa Iglesia de Sevilla, el importe de cien cahices de cal. ]"
8," Fernan Rodriguez, cantero, vecino de Jerez de la Frontera, se obligo con Martin de Gainza, a sacar mil sillares de la cantera del Rey del Puerto de Santa Maria. ]"
9," Ochoa de Isasi, maestro marmolero, y Martin de Gainza, otorgaron carta de pago a Antonio de Cardenas, lugarteniente de Alcaide en los Alcazares reales de Sevilla, de 40 ducados de oro, importe de la losa para dicho Alcazar. ]"
10," Martin de Gainza y Juan de Gainza, cantero, otorgaron carta de pago a Pedro de Espinosa y a Alonso de Espinosa, de 95.962 maravedis, importe de una paca de lienzos. ]"
11," Martin de Gainza, otorgo poder a Juanes de Veorostigui, para cobrar diferentes cantidades. ]"
12," Martin de Gainza. Escritura de deudo.]"
13," Martin de Gainza, obrero mayor de la canteria de la Santa Iglesia de Sevilla, y Antonio de Isasi, vizcaino, como su fiador, se obligaron a pagar a Alonso y a Fernando Lopez de Calatayud, a Antonio de Libano y a Antonio Diaz, 150.000 maravedis, importe de 32 piezas de Holanda que les habia comprado. ]"
14," Martin de Gainza, vizcaino, se constituyo en fiador de Miguel de Aramburo, en el arrendamiento de unas casas del Hospital de los Caballeros. ]"
15," Pedro Montañes, cantero, y Martin de Gainza, se obligaron a traer para la Catedral, cuatrocientas carretadas de piedra de las canteras de Moron. ]"
